tile_ID,geometry,position
0,"POLYGON ((-77.1197949 38.917550066233616, -77.1197949 38.92803331514352, -77.10632017073821 38.92803331514352, -77.10632017073821 38.917550066233616, -77.1197949 38.917550066233616))","[0, 11]"
1,"POLYGON ((-77.1197949 38.92803331514352, -77.1197949 38.938515015028074, -77.10632017073821 38.938515015028074, -77.10632017073821 38.92803331514352, -77.1197949 38.92803331514352))","[0, 12]"
2,"POLYGON ((-77.1197949 38.938515015028074, -77.1197949 38.94899516576541, -77.10632017073821 38.94899516576541, -77.10632017073821 38.938515015028074, -77.1197949 38.938515015028074))","[0, 13]"
3,"POLYGON ((-77.10632017073821 38.89657892182632, -77.10632017073821 38.90706526842046, -77.09284544147643 38.90706526842046, -77.09284544147643 38.89657892182632, -77.10632017073821 38.89657892182632))","[1, 9]"
4,"POLYGON ((-77.10632017073821 38.90706526842046, -77.10632017073821 38.917550066233616, -77.09284544147643 38.917550066233616, -77.09284544147643 38.90706526842046, -77.10632017073821 38.90706526842046))","[1, 10]"
5,"POLYGON ((-77.10632017073821 38.917550066233616, -77.10632017073821 38.92803331514352, -77.09284544147643 38.92803331514352, -77.09284544147643 38.917550066233616, -77.10632017073821 38.917550066233616))","[1, 11]"
6,"POLYGON ((-77.10632017073821 38.92803331514352, -77.10632017073821 38.938515015028074, -77.09284544147643 38.938515015028074, -77.09284544147643 38.92803331514352, -77.10632017073821 38.92803331514352))","[1, 12]"
7,"POLYGON ((-77.10632017073821 38.938515015028074, -77.10632017073821 38.94899516576541, -77.09284544147643 38.94899516576541, -77.09284544147643 38.938515015028074, -77.10632017073821 38.938515015028074))","[1, 13]"
8,"POLYGON ((-77.10632017073821 38.94899516576541, -77.10632017073821 38.959473767233916, -77.09284544147643 38.959473767233916, -77.09284544147643 38.94899516576541, -77.10632017073821 38.94899516576541))","[1, 14]"
9,"POLYGON ((-77.09284544147643 38.89657892182632, -77.09284544147643 38.90706526842046, -77.07937071221463 38.90706526842046, -77.07937071221463 38.89657892182632, -77.09284544147643 38.89657892182632))","[2, 9]"
10,"POLYGON ((-77.09284544147643 38.90706526842046, -77.09284544147643 38.917550066233616, -77.07937071221463 38.917550066233616, -77.07937071221463 38.90706526842046, -77.09284544147643 38.90706526842046))","[2, 10]"
