tile_ID,geometry,position
10,"POLYGON ((-77.08386228863523 38.88958716372352, -77.08386228863523 38.90356999163647, -77.06589598295284 38.90356999163647, -77.06589598295284 38.88958716372352, -77.08386228863523 38.88958716372352))","[1, 6]"
11,"POLYGON ((-77.08386228863523 38.90356999163647, -77.08386228863523 38.917550066233616, -77.06589598295284 38.917550066233616, -77.06589598295284 38.90356999163647, -77.08386228863523 38.90356999163647))","[1, 7]"
12,"POLYGON ((-77.08386228863523 38.917550066233616, -77.08386228863523 38.93152738722498, -77.06589598295284 38.93152738722498, -77.06589598295284 38.917550066233616, -77.08386228863523 38.917550066233616))","[1, 8]"
13,"POLYGON ((-77.08386228863523 38.93152738722498, -77.08386228863523 38.94550195432127, -77.06589598295284 38.94550195432127, -77.06589598295284 38.93152738722498, -77.08386228863523 38.93152738722498))","[1, 9]"
14,"POLYGON ((-77.08386228863523 38.94550195432127, -77.08386228863523 38.959473767233916, -77.06589598295284 38.959473767233916, -77.06589598295284 38.94550195432127, -77.08386228863523 38.94550195432127))","[1, 10]"
15,"POLYGON ((-77.08386228863523 38.959473767233916, -77.08386228863523 38.97344282567505, -77.06589598295284 38.97344282567505, -77.06589598295284 38.959473767233916, -77.08386228863523 38.959473767233916))","[1, 11]"
16,"POLYGON ((-77.08386228863523 38.97344282567505, -77.08386228863523 38.987409129357545, -77.06589598295284 38.987409129357545, -77.06589598295284 38.97344282567505, -77.08386228863523 38.97344282567505))","[1, 12]"
17,"POLYGON ((-77.06589598295284 38.86161324911378, -77.06589598295284 38.875601582785485, -77.04792967727045 38.875601582785485, -77.04792967727045 38.86161324911378, -77.06589598295284 38.86161324911378))","[2, 4]"
18,"POLYGON ((-77.06589598295284 38.875601582785485, -77.06589598295284 38.88958716372352, -77.04792967727045 38.88958716372352, -77.04792967727045 38.875601582785485, -77.06589598295284 38.875601582785485))","[2, 5]"
19,"POLYGON ((-77.06589598295284 38.88958716372352, -77.06589598295284 38.90356999163647, -77.04792967727045 38.90356999163647, -77.04792967727045 38.88958716372352, -77.06589598295284 38.88958716372352))","[2, 6]"
20,"POLYGON ((-77.06589598295284 38.90356999163647, -77.06589598295284 38.917550066233616, -77.04792967727045 38.917550066233616, -77.04792967727045 38.90356999163647, -77.06589598295284 38.90356999163647))","[2, 7]"
21,"POLYGON ((-77.06589598295284 38.917550066233616, -77.06589598295284 38.93152738722498, -77.04792967727045 38.93152738722498, -77.04792967727045 38.917550066233616, -77.06589598295284 38.917550066233616))","[2, 8]"
22,"POLYGON ((-77.06589598295284 38.93152738722498, -77.06589598295284 38.94550195432127, -77.04792967727045 38.94550195432127, -77.04792967727045 38.93152738722498, -77.06589598295284 38.93152738722498))","[2, 9]"
23,"POLYGON ((-77.06589598295284 38.94550195432127, -77.06589598295284 38.959473767233916, -77.04792967727045 38.959473767233916, -77.04792967727045 38.94550195432127, -77.06589598295284 38.94550195432127))","[2, 10]"
24,"POLYGON ((-77.06589598295284 38.959473767233916, -77.06589598295284 38.97344282567505, -77.04792967727045 38.97344282567505, -77.04792967727045 38.959473767233916, -77.06589598295284 38.959473767233916))","[2, 11]"
25,"POLYGON ((-77.06589598295284 38.97344282567505, -77.06589598295284 38.987409129357545, -77.04792967727045 38.987409129357545, -77.04792967727045 38.97344282567505, -77.06589598295284 38.97344282567505))","[2, 12]"
26,"POLYGON ((-77.06589598295284 38.987409129357545, -77.06589598295284 39.001372677994944, -77.04792967727045 39.001372677994944, -77.04792967727045 38.987409129357545, -77.06589598295284 38.987409129357545))","[2, 13]"
27,"POLYGON ((-77.04792967727045 38.7916303, -77.04792967727045 38.805632392943714, -77.02996337158805 38.805632392943714, -77.02996337158805 38.7916303, -77.04792967727045 38.7916303))","[3, 0]"
28,"POLYGON ((-77.04792967727045 38.805632392943714, -77.04792967727045 38.819631734621595, -77.02996337158805 38.819631734621595, -77.02996337158805 38.805632392943714, -77.04792967727045 38.805632392943714))","[3, 1]"
29,"POLYGON ((-77.04792967727045 38.819631734621595, -77.04792967727045 38.833628324738626, -77.02996337158805 38.833628324738626, -77.02996337158805 38.819631734621595, -77.04792967727045 38.819631734621595))","[3, 1]"
30,"POLYGON ((-77.04792967727045 38.833628324738626, -77.04792967727045 38.847622163000544, -77.02996337158805 38.847622163000544, -77.02996337158805 38.833628324738626, -77.04792967727045 38.833628324738626))","[3, 2]"
31,"POLYGON ((-77.04792967727045 38.847622163000544, -77.04792967727045 38.86161324911378, -77.02996337158805 38.86161324911378, -77.02996337158805 38.847622163000544, -77.04792967727045 38.847622163000544))","[3, 3]"
32,"POLYGON ((-77.04792967727045 38.86161324911378, -77.04792967727045 38.875601582785485, -77.02996337158805 38.875601582785485, -77.02996337158805 38.86161324911378, -77.04792967727045 38.86161324911378))","[3, 4]"
33,"POLYGON ((-77.04792967727045 38.875601582785485, -77.04792967727045 38.88958716372352, -77.02996337158805 38.88958716372352, -77.02996337158805 38.875601582785485, -77.04792967727045 38.875601582785485))","[3, 5]"
34,"POLYGON ((-77.04792967727045 38.88958716372352, -77.04792967727045 38.90356999163647, -77.02996337158805 38.90356999163647, -77.02996337158805 38.88958716372352, -77.04792967727045 38.88958716372352))","[3, 6]"
35,"POLYGON ((-77.04792967727045 38.90356999163647, -77.04792967727045 38.917550066233616, -77.02996337158805 38.917550066233616, -77.02996337158805 38.90356999163647, -77.04792967727045 38.90356999163647))","[3, 7]"
