tile_ID,geometry,position
0,"POLYGON ((-77.1197949 38.917550066233616, -77.1197949 38.92453907094813, -77.1108117471588 38.92453907094813, -77.1108117471588 38.917550066233616, -77.1197949 38.917550066233616))","[0, 18]"
1,"POLYGON ((-77.1197949 38.92453907094813, -77.1197949 38.93152738722498, -77.1108117471588 38.93152738722498, -77.1108117471588 38.92453907094813, -77.1197949 38.92453907094813))","[0, 19]"
2,"POLYGON ((-77.1197949 38.93152738722498, -77.1197949 38.938515015028074, -77.1108117471588 38.938515015028074, -77.1108117471588 38.93152738722498, -77.1197949 38.93152738722498))","[0, 20]"
3,"POLYGON ((-77.1197949 38.938515015028074, -77.1197949 38.94550195432127, -77.1108117471588 38.94550195432127, -77.1108117471588 38.938515015028074, -77.1197949 38.938515015028074))","[0, 21]"
4,"POLYGON ((-77.1108117471588 38.91056037311766, -77.1108117471588 38.917550066233616, -77.10182859431761 38.917550066233616, -77.10182859431761 38.91056037311766, -77.1108117471588 38.91056037311766))","[1, 17]"
5,"POLYGON ((-77.1108117471588 38.917550066233616, -77.1108117471588 38.92453907094813, -77.10182859431761 38.92453907094813, -77.10182859431761 38.917550066233616, -77.1108117471588 38.917550066233616))","[1, 18]"
6,"POLYGON ((-77.1108117471588 38.92453907094813, -77.1108117471588 38.93152738722498, -77.10182859431761 38.93152738722498, -77.10182859431761 38.92453907094813, -77.1108117471588 38.92453907094813))","[1, 19]"
7,"POLYGON ((-77.1108117471588 38.93152738722498, -77.1108117471588 38.938515015028074, -77.10182859431761 38.938515015028074, -77.10182859431761 38.93152738722498, -77.1108117471588 38.93152738722498))","[1, 20]"
8,"POLYGON ((-77.1108117471588 38.938515015028074, -77.1108117471588 38.94550195432127, -77.10182859431761 38.94550195432127, -77.10182859431761 38.938515015028074, -77.1108117471588 38.938515015028074))","[1, 21]"
9,"POLYGON ((-77.1108117471588 38.94550195432127, -77.1108117471588 38.95248820506855, -77.10182859431761 38.95248820506855, -77.10182859431761 38.94550195432127, -77.1108117471588 38.94550195432127))","[1, 22]"
10,"POLYGON ((-77.10182859431761 38.90356999163647, -77.10182859431761 38.91056037311766, -77.09284544147643 38.91056037311766, -77.09284544147643 38.90356999163647, -77.10182859431761 38.90356999163647))","[2, 16]"
11,"POLYGON ((-77.10182859431761 38.91056037311766, -77.10182859431761 38.917550066233616, -77.09284544147643 38.917550066233616, -77.09284544147643 38.91056037311766, -77.10182859431761 38.91056037311766))","[2, 17]"
12,"POLYGON ((-77.10182859431761 38.917550066233616, -77.10182859431761 38.92453907094813, -77.09284544147643 38.92453907094813, -77.09284544147643 38.917550066233616, -77.10182859431761 38.917550066233616))","[2, 18]"
13,"POLYGON ((-77.10182859431761 38.92453907094813, -77.10182859431761 38.93152738722498, -77.09284544147643 38.93152738722498, -77.09284544147643 38.92453907094813, -77.10182859431761 38.92453907094813))","[2, 19]"
14,"POLYGON ((-77.10182859431761 38.93152738722498, -77.10182859431761 38.938515015028074, -77.09284544147643 38.938515015028074, -77.09284544147643 38.93152738722498, -77.10182859431761 38.93152738722498))","[2, 20]"
15,"POLYGON ((-77.10182859431761 38.938515015028074, -77.10182859431761 38.94550195432127, -77.09284544147643 38.94550195432127, -77.09284544147643 38.938515015028074, -77.10182859431761 38.938515015028074))","[2, 21]"
16,"POLYGON ((-77.10182859431761 38.94550195432127, -77.10182859431761 38.95248820506855, -77.09284544147643 38.95248820506855, -77.09284544147643 38.94550195432127, -77.10182859431761 38.94550195432127))","[2, 22]"
17,"POLYGON ((-77.10182859431761 38.95248820506855, -77.10182859431761 38.959473767233916, -77.09284544147643 38.959473767233916, -77.09284544147643 38.95248820506855, -77.10182859431761 38.95248820506855))","[2, 23]"
18,"POLYGON ((-77.09284544147643 38.89657892182632, -77.09284544147643 38.90356999163647, -77.08386228863523 38.90356999163647, -77.08386228863523 38.89657892182632, -77.09284544147643 38.89657892182632))","[3, 15]"
19,"POLYGON ((-77.09284544147643 38.90356999163647, -77.09284544147643 38.91056037311766, -77.08386228863523 38.91056037311766, -77.08386228863523 38.90356999163647, -77.09284544147643 38.90356999163647))","[3, 16]"
