tile_ID,geometry,position
25,"POLYGON ((-74.0013768943176 40.74743635294619, -74.0013768943176 40.754241589114294, -73.9923937414764 40.754241589114294, -73.9923937414764 40.74743635294619, -74.0013768943176 40.74743635294619))","[2, 7]"
26,"POLYGON ((-74.0013768943176 40.754241589114294, -74.0013768943176 40.76104612878771, -73.9923937414764 40.76104612878771, -73.9923937414764 40.754241589114294, -74.0013768943176 40.754241589114294))","[2, 8]"
27,"POLYGON ((-74.0013768943176 40.76104612878771, -74.0013768943176 40.76784997194176, -73.9923937414764 40.76784997194176, -73.9923937414764 40.76104612878771, -74.0013768943176 40.76104612878771))","[2, 9]"
28,"POLYGON ((-74.0013768943176 40.76784997194176, -74.0013768943176 40.7746531185518, -73.9923937414764 40.7746531185518, -73.9923937414764 40.76784997194176, -74.0013768943176 40.76784997194176))","[2, 10]"
29,"POLYGON ((-74.0013768943176 40.7746531185518, -74.0013768943176 40.78145556859322, -73.9923937414764 40.78145556859322, -73.9923937414764 40.7746531185518, -74.0013768943176 40.7746531185518))","[2, 11]"
30,"POLYGON ((-73.9923937414764 40.706590310936384, -73.9923937414764 40.71339972555202, -73.98341058863521 40.71339972555202, -73.98341058863521 40.706590310936384, -73.9923937414764 40.706590310936384))","[3, 1]"
31,"POLYGON ((-73.9923937414764 40.71339972555202, -73.9923937414764 40.72020844382193, -73.98341058863521 40.72020844382193, -73.98341058863521 40.71339972555202, -73.9923937414764 40.71339972555202))","[3, 2]"
32,"POLYGON ((-73.9923937414764 40.72020844382193, -73.9923937414764 40.72701646572116, -73.98341058863521 40.72701646572116, -73.98341058863521 40.72020844382193, -73.9923937414764 40.72020844382193))","[3, 3]"
33,"POLYGON ((-73.9923937414764 40.72701646572116, -73.9923937414764 40.733823791224836, -73.98341058863521 40.733823791224836, -73.98341058863521 40.72701646572116, -73.9923937414764 40.72701646572116))","[3, 4]"
34,"POLYGON ((-73.9923937414764 40.733823791224836, -73.9923937414764 40.74063042030813, -73.98341058863521 40.74063042030813, -73.98341058863521 40.733823791224836, -73.9923937414764 40.733823791224836))","[3, 5]"
35,"POLYGON ((-73.9923937414764 40.74063042030813, -73.9923937414764 40.74743635294619, -73.98341058863521 40.74743635294619, -73.98341058863521 40.74063042030813, -73.9923937414764 40.74063042030813))","[3, 6]"
36,"POLYGON ((-73.9923937414764 40.74743635294619, -73.9923937414764 40.754241589114294, -73.98341058863521 40.754241589114294, -73.98341058863521 40.74743635294619, -73.9923937414764 40.74743635294619))","[3, 7]"
37,"POLYGON ((-73.9923937414764 40.754241589114294, -73.9923937414764 40.76104612878771, -73.98341058863521 40.76104612878771, -73.98341058863521 40.754241589114294, -73.9923937414764 40.754241589114294))","[3, 8]"
38,"POLYGON ((-73.9923937414764 40.76104612878771, -73.9923937414764 40.76784997194176, -73.98341058863521 40.76784997194176, -73.98341058863521 40.76104612878771, -73.9923937414764 40.76104612878771))","[3, 9]"
39,"POLYGON ((-73.9923937414764 40.76784997194176, -73.9923937414764 40.7746531185518, -73.98341058863521 40.7746531185518, -73.98341058863521 40.76784997194176, -73.9923937414764 40.76784997194176))","[3, 10]"
40,"POLYGON ((-73.9923937414764 40.7746531185518, -73.9923937414764 40.78145556859322, -73.98341058863521 40.78145556859322, -73.98341058863521 40.7746531185518, -73.9923937414764 40.7746531185518))","[3, 11]"
41,"POLYGON ((-73.9923937414764 40.78145556859322, -73.9923937414764 40.788257322041495, -73.98341058863521 40.788257322041495, -73.98341058863521 40.78145556859322, -73.9923937414764 40.78145556859322))","[3, 12]"
42,"POLYGON ((-73.9923937414764 40.788257322041495, -73.9923937414764 40.7950583788721, -73.98341058863521 40.7950583788721, -73.98341058863521 40.788257322041495, -73.9923937414764 40.788257322041495))","[3, 13]"
43,"POLYGON ((-73.98341058863521 40.706590310936384, -73.98341058863521 40.71339972555202, -73.97442743579401 40.71339972555202, -73.97442743579401 40.706590310936384, -73.98341058863521 40.706590310936384))","[4, 1]"
44,"POLYGON ((-73.98341058863521 40.71339972555202, -73.98341058863521 40.72020844382193, -73.97442743579401 40.72020844382193, -73.97442743579401 40.71339972555202, -73.98341058863521 40.71339972555202))","[4, 2]"
45,"POLYGON ((-73.98341058863521 40.72020844382193, -73.98341058863521 40.72701646572116, -73.97442743579401 40.72701646572116, -73.97442743579401 40.72020844382193, -73.98341058863521 40.72020844382193))","[4, 3]"
46,"POLYGON ((-73.98341058863521 40.72701646572116, -73.98341058863521 40.733823791224836, -73.97442743579401 40.733823791224836, -73.97442743579401 40.72701646572116, -73.98341058863521 40.72701646572116))","[4, 4]"
47,"POLYGON ((-73.98341058863521 40.733823791224836, -73.98341058863521 40.74063042030813, -73.97442743579401 40.74063042030813, -73.97442743579401 40.733823791224836, -73.98341058863521 40.733823791224836))","[4, 5]"
48,"POLYGON ((-73.98341058863521 40.74063042030813, -73.98341058863521 40.74743635294619, -73.97442743579401 40.74743635294619, -73.97442743579401 40.74063042030813, -73.98341058863521 40.74063042030813))","[4, 6]"
49,"POLYGON ((-73.98341058863521 40.74743635294619, -73.98341058863521 40.754241589114294, -73.97442743579401 40.754241589114294, -73.97442743579401 40.74743635294619, -73.98341058863521 40.74743635294619))","[4, 7]"
