tile_ID,geometry,position
21,"POLYGON ((-73.98934841476414 40.578998157095846, -73.98934841476414 40.63014952916199, -73.92197476845517 40.63014952916199, -73.92197476845517 40.578998157095846, -73.98934841476414 40.578998157095846))","[4, 2]"
22,"POLYGON ((-73.98934841476414 40.63014952916199, -73.98934841476414 40.68126174911684, -73.92197476845517 40.68126174911684, -73.92197476845517 40.63014952916199, -73.98934841476414 40.63014952916199))","[4, 3]"
23,"POLYGON ((-73.98934841476414 40.68126174911684, -73.98934841476414 40.73233480628412, -73.92197476845517 40.73233480628412, -73.92197476845517 40.68126174911684, -73.98934841476414 40.68126174911684))","[4, 4]"
24,"POLYGON ((-73.98934841476414 40.73233480628412, -73.98934841476414 40.7833686901202, -73.92197476845517 40.7833686901202, -73.92197476845517 40.73233480628412, -73.98934841476414 40.73233480628412))","[4, 5]"
25,"POLYGON ((-73.98934841476414 40.7833686901202, -73.98934841476414 40.834363390213916, -73.92197476845517 40.834363390213916, -73.92197476845517 40.7833686901202, -73.98934841476414 40.7833686901202))","[4, 6]"
26,"POLYGON ((-73.98934841476414 40.834363390213916, -73.98934841476414 40.885318896286314, -73.92197476845517 40.885318896286314, -73.92197476845517 40.834363390213916, -73.98934841476414 40.834363390213916))","[4, 7]"
27,"POLYGON ((-73.98934841476414 40.885318896286314, -73.98934841476414 40.936235198190374, -73.92197476845517 40.936235198190374, -73.92197476845517 40.885318896286314, -73.98934841476414 40.885318896286314))","[4, 8]"
28,"POLYGON ((-73.92197476845517 40.476578, -73.92197476845517 40.527807643727705, -73.8546011221462 40.527807643727705, -73.8546011221462 40.476578, -73.92197476845517 40.476578))","[5, 0]"
29,"POLYGON ((-73.92197476845517 40.527807643727705, -73.92197476845517 40.578998157095846, -73.8546011221462 40.578998157095846, -73.8546011221462 40.527807643727705, -73.92197476845517 40.527807643727705))","[5, 1]"
30,"POLYGON ((-73.92197476845517 40.578998157095846, -73.92197476845517 40.63014952916199, -73.8546011221462 40.63014952916199, -73.8546011221462 40.578998157095846, -73.92197476845517 40.578998157095846))","[5, 2]"
31,"POLYGON ((-73.92197476845517 40.63014952916199, -73.92197476845517 40.68126174911684, -73.8546011221462 40.68126174911684, -73.8546011221462 40.63014952916199, -73.92197476845517 40.63014952916199))","[5, 3]"
32,"POLYGON ((-73.92197476845517 40.68126174911684, -73.92197476845517 40.73233480628412, -73.8546011221462 40.73233480628412, -73.8546011221462 40.68126174911684, -73.92197476845517 40.68126174911684))","[5, 4]"
33,"POLYGON ((-73.92197476845517 40.73233480628412, -73.92197476845517 40.7833686901202, -73.8546011221462 40.7833686901202, -73.8546011221462 40.73233480628412, -73.92197476845517 40.73233480628412))","[5, 5]"
