tile_ID,geometry,position
0,"POLYGON ((-74.25884299999998 40.476578, -74.25884299999998 40.51073544309199, -74.21392723579402 40.51073544309199, -74.21392723579402 40.476578, -74.25884299999998 40.476578))","[0, 0]"
1,"POLYGON ((-74.25884299999998 40.51073544309199, -74.25884299999998 40.5448754965446, -74.21392723579402 40.5448754965446, -74.21392723579402 40.51073544309199, -74.25884299999998 40.51073544309199))","[0, 1]"
2,"POLYGON ((-74.25884299999998 40.5448754965446, -74.25884299999998 40.578998157095846, -74.21392723579402 40.578998157095846, -74.21392723579402 40.5448754965446, -74.25884299999998 40.5448754965446))","[0, 2]"
3,"POLYGON ((-74.21392723579402 40.476578, -74.21392723579402 40.51073544309199, -74.16901147158805 40.51073544309199, -74.16901147158805 40.476578, -74.21392723579402 40.476578))","[1, 0]"
4,"POLYGON ((-74.21392723579402 40.51073544309199, -74.21392723579402 40.5448754965446, -74.16901147158805 40.5448754965446, -74.16901147158805 40.51073544309199, -74.21392723579402 40.51073544309199))","[1, 1]"
5,"POLYGON ((-74.21392723579402 40.5448754965446, -74.21392723579402 40.578998157095846, -74.16901147158805 40.578998157095846, -74.16901147158805 40.5448754965446, -74.21392723579402 40.5448754965446))","[1, 2]"
6,"POLYGON ((-74.21392723579402 40.578998157095846, -74.21392723579402 40.61310342151015, -74.16901147158805 40.61310342151015, -74.16901147158805 40.578998157095846, -74.21392723579402 40.578998157095846))","[1, 3]"
7,"POLYGON ((-74.21392723579402 40.61310342151015, -74.21392723579402 40.64719128657815, -74.16901147158805 40.64719128657815, -74.16901147158805 40.61310342151015, -74.21392723579402 40.61310342151015))","[1, 4]"
8,"POLYGON ((-74.16901147158805 40.476578, -74.16901147158805 40.51073544309199, -74.12409570738207 40.51073544309199, -74.12409570738207 40.476578, -74.16901147158805 40.476578))","[2, 0]"
9,"POLYGON ((-74.16901147158805 40.51073544309199, -74.16901147158805 40.5448754965446, -74.12409570738207 40.5448754965446, -74.12409570738207 40.51073544309199, -74.16901147158805 40.51073544309199))","[2, 1]"
10,"POLYGON ((-74.16901147158805 40.5448754965446, -74.16901147158805 40.578998157095846, -74.12409570738207 40.578998157095846, -74.12409570738207 40.5448754965446, -74.16901147158805 40.5448754965446))","[2, 2]"
11,"POLYGON ((-74.16901147158805 40.578998157095846, -74.16901147158805 40.61310342151015, -74.12409570738207 40.61310342151015, -74.12409570738207 40.578998157095846, -74.16901147158805 40.578998157095846))","[2, 3]"
12,"POLYGON ((-74.16901147158805 40.61310342151015, -74.16901147158805 40.64719128657815, -74.12409570738207 40.64719128657815, -74.12409570738207 40.61310342151015, -74.16901147158805 40.61310342151015))","[2, 4]"
13,"POLYGON ((-74.12409570738207 40.476578, -74.12409570738207 40.51073544309199, -74.0791799431761 40.51073544309199, -74.0791799431761 40.476578, -74.12409570738207 40.476578))","[3, 0]"
14,"POLYGON ((-74.12409570738207 40.51073544309199, -74.12409570738207 40.5448754965446, -74.0791799431761 40.5448754965446, -74.0791799431761 40.51073544309199, -74.12409570738207 40.51073544309199))","[3, 1]"
15,"POLYGON ((-74.12409570738207 40.5448754965446, -74.12409570738207 40.578998157095846, -74.0791799431761 40.578998157095846, -74.0791799431761 40.5448754965446, -74.12409570738207 40.5448754965446))","[3, 2]"
16,"POLYGON ((-74.12409570738207 40.578998157095846, -74.12409570738207 40.61310342151015, -74.0791799431761 40.61310342151015, -74.0791799431761 40.578998157095846, -74.12409570738207 40.578998157095846))","[3, 3]"
17,"POLYGON ((-74.12409570738207 40.61310342151015, -74.12409570738207 40.64719128657815, -74.0791799431761 40.64719128657815, -74.0791799431761 40.61310342151015, -74.12409570738207 40.61310342151015))","[3, 4]"
18,"POLYGON ((-74.12409570738207 40.64719128657815, -74.12409570738207 40.68126174911684, -74.0791799431761 40.68126174911684, -74.0791799431761 40.64719128657815, -74.12409570738207 40.64719128657815))","[3, 5]"
19,"POLYGON ((-74.0791799431761 40.476578, -74.0791799431761 40.51073544309199, -74.03426417897012 40.51073544309199, -74.03426417897012 40.476578, -74.0791799431761 40.476578))","[4, 0]"
20,"POLYGON ((-74.0791799431761 40.51073544309199, -74.0791799431761 40.5448754965446, -74.03426417897012 40.5448754965446, -74.03426417897012 40.51073544309199, -74.0791799431761 40.51073544309199))","[4, 1]"
21,"POLYGON ((-74.0791799431761 40.5448754965446, -74.0791799431761 40.578998157095846, -74.03426417897012 40.578998157095846, -74.03426417897012 40.5448754965446, -74.0791799431761 40.5448754965446))","[4, 2]"
22,"POLYGON ((-74.0791799431761 40.578998157095846, -74.0791799431761 40.61310342151015, -74.03426417897012 40.61310342151015, -74.03426417897012 40.578998157095846, -74.0791799431761 40.578998157095846))","[4, 3]"
23,"POLYGON ((-74.0791799431761 40.61310342151015, -74.0791799431761 40.64719128657815, -74.03426417897012 40.64719128657815, -74.03426417897012 40.61310342151015, -74.0791799431761 40.61310342151015))","[4, 4]"
24,"POLYGON ((-74.0791799431761 40.64719128657815, -74.0791799431761 40.68126174911684, -74.03426417897012 40.68126174911684, -74.03426417897012 40.64719128657815, -74.0791799431761 40.64719128657815))","[4, 5]"
25,"POLYGON ((-74.0791799431761 40.68126174911684, -74.0791799431761 40.71531480596944, -74.03426417897012 40.71531480596944, -74.03426417897012 40.68126174911684, -74.0791799431761 40.68126174911684))","[4, 6]"
26,"POLYGON ((-74.03426417897012 40.476578, -74.03426417897012 40.51073544309199, -73.98934841476414 40.51073544309199, -73.98934841476414 40.476578, -74.03426417897012 40.476578))","[5, 0]"
27,"POLYGON ((-74.03426417897012 40.51073544309199, -74.03426417897012 40.5448754965446, -73.98934841476414 40.5448754965446, -73.98934841476414 40.51073544309199, -74.03426417897012 40.51073544309199))","[5, 1]"
28,"POLYGON ((-74.03426417897012 40.5448754965446, -74.03426417897012 40.578998157095846, -73.98934841476414 40.578998157095846, -73.98934841476414 40.5448754965446, -74.03426417897012 40.5448754965446))","[5, 2]"
29,"POLYGON ((-74.03426417897012 40.578998157095846, -74.03426417897012 40.61310342151015, -73.98934841476414 40.61310342151015, -73.98934841476414 40.578998157095846, -74.03426417897012 40.578998157095846))","[5, 3]"
30,"POLYGON ((-74.03426417897012 40.61310342151015, -74.03426417897012 40.64719128657815, -73.98934841476414 40.64719128657815, -73.98934841476414 40.61310342151015, -74.03426417897012 40.61310342151015))","[5, 4]"
31,"POLYGON ((-74.03426417897012 40.64719128657815, -74.03426417897012 40.68126174911684, -73.98934841476414 40.68126174911684, -73.98934841476414 40.64719128657815, -74.03426417897012 40.64719128657815))","[5, 5]"
32,"POLYGON ((-74.03426417897012 40.68126174911684, -74.03426417897012 40.71531480596944, -73.98934841476414 40.71531480596944, -73.98934841476414 40.68126174911684, -74.03426417897012 40.68126174911684))","[5, 6]"
33,"POLYGON ((-74.03426417897012 40.71531480596944, -74.03426417897012 40.74935045400535, -73.98934841476414 40.74935045400535, -73.98934841476414 40.71531480596944, -74.03426417897012 40.71531480596944))","[5, 7]"
34,"POLYGON ((-74.03426417897012 40.74935045400535, -74.03426417897012 40.7833686901202, -73.98934841476414 40.7833686901202, -73.98934841476414 40.74935045400535, -74.03426417897012 40.74935045400535))","[5, 8]"
35,"POLYGON ((-74.03426417897012 40.7833686901202, -74.03426417897012 40.81736951123572, -73.98934841476414 40.81736951123572, -73.98934841476414 40.7833686901202, -74.03426417897012 40.7833686901202))","[5, 9]"
36,"POLYGON ((-73.98934841476414 40.476578, -73.98934841476414 40.51073544309199, -73.94443265055816 40.51073544309199, -73.94443265055816 40.476578, -73.98934841476414 40.476578))","[6, 0]"
37,"POLYGON ((-73.98934841476414 40.51073544309199, -73.98934841476414 40.5448754965446, -73.94443265055816 40.5448754965446, -73.94443265055816 40.51073544309199, -73.98934841476414 40.51073544309199))","[6, 1]"
38,"POLYGON ((-73.98934841476414 40.5448754965446, -73.98934841476414 40.578998157095846, -73.94443265055816 40.578998157095846, -73.94443265055816 40.5448754965446, -73.98934841476414 40.5448754965446))","[6, 2]"
39,"POLYGON ((-73.98934841476414 40.578998157095846, -73.98934841476414 40.61310342151015, -73.94443265055816 40.61310342151015, -73.94443265055816 40.578998157095846, -73.98934841476414 40.578998157095846))","[6, 3]"
40,"POLYGON ((-73.98934841476414 40.61310342151015, -73.98934841476414 40.64719128657815, -73.94443265055816 40.64719128657815, -73.94443265055816 40.61310342151015, -73.98934841476414 40.61310342151015))","[6, 4]"
41,"POLYGON ((-73.98934841476414 40.64719128657815, -73.98934841476414 40.68126174911684, -73.94443265055816 40.68126174911684, -73.94443265055816 40.64719128657815, -73.98934841476414 40.64719128657815))","[6, 5]"
42,"POLYGON ((-73.98934841476414 40.68126174911684, -73.98934841476414 40.71531480596944, -73.94443265055816 40.71531480596944, -73.94443265055816 40.68126174911684, -73.98934841476414 40.68126174911684))","[6, 6]"
43,"POLYGON ((-73.98934841476414 40.71531480596944, -73.98934841476414 40.74935045400535, -73.94443265055816 40.74935045400535, -73.94443265055816 40.71531480596944, -73.98934841476414 40.71531480596944))","[6, 7]"
44,"POLYGON ((-73.98934841476414 40.74935045400535, -73.98934841476414 40.7833686901202, -73.94443265055816 40.7833686901202, -73.94443265055816 40.74935045400535, -73.98934841476414 40.74935045400535))","[6, 8]"
45,"POLYGON ((-73.98934841476414 40.7833686901202, -73.98934841476414 40.81736951123572, -73.94443265055816 40.81736951123572, -73.94443265055816 40.7833686901202, -73.98934841476414 40.7833686901202))","[6, 9]"
46,"POLYGON ((-73.98934841476414 40.81736951123572, -73.98934841476414 40.851352914299774, -73.94443265055816 40.851352914299774, -73.94443265055816 40.81736951123572, -73.98934841476414 40.81736951123572))","[6, 10]"
47,"POLYGON ((-73.98934841476414 40.851352914299774, -73.98934841476414 40.885318896286314, -73.94443265055816 40.885318896286314, -73.94443265055816 40.851352914299774, -73.98934841476414 40.851352914299774))","[6, 11]"
48,"POLYGON ((-73.94443265055816 40.476578, -73.94443265055816 40.51073544309199, -73.89951688635219 40.51073544309199, -73.89951688635219 40.476578, -73.94443265055816 40.476578))","[7, 0]"
49,"POLYGON ((-73.94443265055816 40.51073544309199, -73.94443265055816 40.5448754965446, -73.89951688635219 40.5448754965446, -73.89951688635219 40.51073544309199, -73.94443265055816 40.51073544309199))","[7, 1]"
50,"POLYGON ((-73.94443265055816 40.5448754965446, -73.94443265055816 40.578998157095846, -73.89951688635219 40.578998157095846, -73.89951688635219 40.5448754965446, -73.94443265055816 40.5448754965446))","[7, 2]"
51,"POLYGON ((-73.94443265055816 40.578998157095846, -73.94443265055816 40.61310342151015, -73.89951688635219 40.61310342151015, -73.89951688635219 40.578998157095846, -73.94443265055816 40.578998157095846))","[7, 3]"
52,"POLYGON ((-73.94443265055816 40.61310342151015, -73.94443265055816 40.64719128657815, -73.89951688635219 40.64719128657815, -73.89951688635219 40.61310342151015, -73.94443265055816 40.61310342151015))","[7, 4]"
53,"POLYGON ((-73.94443265055816 40.64719128657815, -73.94443265055816 40.68126174911684, -73.89951688635219 40.68126174911684, -73.89951688635219 40.64719128657815, -73.94443265055816 40.64719128657815))","[7, 5]"
54,"POLYGON ((-73.94443265055816 40.68126174911684, -73.94443265055816 40.71531480596944, -73.89951688635219 40.71531480596944, -73.89951688635219 40.68126174911684, -73.94443265055816 40.68126174911684))","[7, 6]"
55,"POLYGON ((-73.94443265055816 40.71531480596944, -73.94443265055816 40.74935045400535, -73.89951688635219 40.74935045400535, -73.89951688635219 40.71531480596944, -73.94443265055816 40.71531480596944))","[7, 7]"
56,"POLYGON ((-73.94443265055816 40.74935045400535, -73.94443265055816 40.7833686901202, -73.89951688635219 40.7833686901202, -73.89951688635219 40.74935045400535, -73.94443265055816 40.74935045400535))","[7, 8]"
57,"POLYGON ((-73.94443265055816 40.7833686901202, -73.94443265055816 40.81736951123572, -73.89951688635219 40.81736951123572, -73.89951688635219 40.7833686901202, -73.94443265055816 40.7833686901202))","[7, 9]"
58,"POLYGON ((-73.94443265055816 40.81736951123572, -73.94443265055816 40.851352914299774, -73.89951688635219 40.851352914299774, -73.89951688635219 40.81736951123572, -73.94443265055816 40.81736951123572))","[7, 10]"
59,"POLYGON ((-73.94443265055816 40.851352914299774, -73.94443265055816 40.885318896286314, -73.89951688635219 40.885318896286314, -73.89951688635219 40.851352914299774, -73.94443265055816 40.851352914299774))","[7, 11]"
60,"POLYGON ((-73.94443265055816 40.885318896286314, -73.94443265055816 40.91926745419533, -73.89951688635219 40.91926745419533, -73.89951688635219 40.885318896286314, -73.94443265055816 40.885318896286314))","[7, 12]"
61,"POLYGON ((-73.89951688635219 40.476578, -73.89951688635219 40.51073544309199, -73.8546011221462 40.51073544309199, -73.8546011221462 40.476578, -73.89951688635219 40.476578))","[8, 0]"
62,"POLYGON ((-73.89951688635219 40.51073544309199, -73.89951688635219 40.5448754965446, -73.8546011221462 40.5448754965446, -73.8546011221462 40.51073544309199, -73.89951688635219 40.51073544309199))","[8, 1]"
63,"POLYGON ((-73.89951688635219 40.5448754965446, -73.89951688635219 40.578998157095846, -73.8546011221462 40.578998157095846, -73.8546011221462 40.5448754965446, -73.89951688635219 40.5448754965446))","[8, 2]"
64,"POLYGON ((-73.89951688635219 40.578998157095846, -73.89951688635219 40.61310342151015, -73.8546011221462 40.61310342151015, -73.8546011221462 40.578998157095846, -73.89951688635219 40.578998157095846))","[8, 3]"
65,"POLYGON ((-73.89951688635219 40.61310342151015, -73.89951688635219 40.64719128657815, -73.8546011221462 40.64719128657815, -73.8546011221462 40.61310342151015, -73.89951688635219 40.61310342151015))","[8, 4]"
66,"POLYGON ((-73.89951688635219 40.64719128657815, -73.89951688635219 40.68126174911684, -73.8546011221462 40.68126174911684, -73.8546011221462 40.64719128657815, -73.89951688635219 40.64719128657815))","[8, 5]"
67,"POLYGON ((-73.89951688635219 40.68126174911684, -73.89951688635219 40.71531480596944, -73.8546011221462 40.71531480596944, -73.8546011221462 40.68126174911684, -73.89951688635219 40.68126174911684))","[8, 6]"
68,"POLYGON ((-73.89951688635219 40.71531480596944, -73.89951688635219 40.74935045400535, -73.8546011221462 40.74935045400535, -73.8546011221462 40.71531480596944, -73.89951688635219 40.71531480596944))","[8, 7]"
69,"POLYGON ((-73.89951688635219 40.74935045400535, -73.89951688635219 40.7833686901202, -73.8546011221462 40.7833686901202, -73.8546011221462 40.74935045400535, -73.89951688635219 40.74935045400535))","[8, 8]"
70,"POLYGON ((-73.89951688635219 40.7833686901202, -73.89951688635219 40.81736951123572, -73.8546011221462 40.81736951123572, -73.8546011221462 40.7833686901202, -73.89951688635219 40.7833686901202))","[8, 9]"
71,"POLYGON ((-73.89951688635219 40.81736951123572, -73.89951688635219 40.851352914299774, -73.8546011221462 40.851352914299774, -73.8546011221462 40.81736951123572, -73.89951688635219 40.81736951123572))","[8, 10]"
72,"POLYGON ((-73.89951688635219 40.851352914299774, -73.89951688635219 40.885318896286314, -73.8546011221462 40.885318896286314, -73.8546011221462 40.851352914299774, -73.89951688635219 40.851352914299774))","[8, 11]"
73,"POLYGON ((-73.89951688635219 40.885318896286314, -73.89951688635219 40.91926745419533, -73.8546011221462 40.91926745419533, -73.8546011221462 40.885318896286314, -73.89951688635219 40.885318896286314))","[8, 12]"
74,"POLYGON ((-73.8546011221462 40.51073544309199, -73.8546011221462 40.5448754965446, -73.80968535794024 40.5448754965446, -73.80968535794024 40.51073544309199, -73.8546011221462 40.51073544309199))","[9, 1]"
75,"POLYGON ((-73.8546011221462 40.5448754965446, -73.8546011221462 40.578998157095846, -73.80968535794024 40.578998157095846, -73.80968535794024 40.5448754965446, -73.8546011221462 40.5448754965446))","[9, 2]"
76,"POLYGON ((-73.8546011221462 40.578998157095846, -73.8546011221462 40.61310342151015, -73.80968535794024 40.61310342151015, -73.80968535794024 40.578998157095846, -73.8546011221462 40.578998157095846))","[9, 3]"
77,"POLYGON ((-73.8546011221462 40.61310342151015, -73.8546011221462 40.64719128657815, -73.80968535794024 40.64719128657815, -73.80968535794024 40.61310342151015, -73.8546011221462 40.61310342151015))","[9, 4]"
78,"POLYGON ((-73.8546011221462 40.64719128657815, -73.8546011221462 40.68126174911684, -73.80968535794024 40.68126174911684, -73.80968535794024 40.64719128657815, -73.8546011221462 40.64719128657815))","[9, 5]"
79,"POLYGON ((-73.8546011221462 40.68126174911684, -73.8546011221462 40.71531480596944, -73.80968535794024 40.71531480596944, -73.80968535794024 40.68126174911684, -73.8546011221462 40.68126174911684))","[9, 6]"
80,"POLYGON ((-73.8546011221462 40.71531480596944, -73.8546011221462 40.74935045400535, -73.80968535794024 40.74935045400535, -73.80968535794024 40.71531480596944, -73.8546011221462 40.71531480596944))","[9, 7]"
